,시도,군구,선거인수,투표수,이재명,윤석열
0,서울,종로구,129968,100629,46130,49172
1,서울,중구,111448,84998,38244,42906
2,서울,용산구,199077,152068,60063,85047
3,서울,성동구,252087,197240,84411,103880
4,서울,광진구,303582,235471,109922,113733
5,서울,동대문구,300928,232106,108171,112890
6,서울,중랑구,347108,260862,130381,118201
7,서울,성북구,375880,292187,142702,135044
8,서울,강북구,268974,199448,103333,86540
9,서울,도봉구,281812,216036,106546,99780
10,서울,노원구,441879,349297,169275,163340
11,서울,은평구,417391,317971,161510,140666
12,서울,서대문구,269615,210460,100702,98924
13,서울,마포구,324091,256218,117916,124327
14,서울,양천구,378710,301379,138586,149780
15,서울,강서구,504185,390247,190000,181510
16,서울,구로구,348156,272920,133027,127129
17,서울,금천구,208786,157035,80208,69227
18,서울,영등포구,334361,263581,116443,134846
19,서울,동작구,342248,271510,122914,135733
20,서울,관악구,446161,340773,169284,151944
21,서울,서초구,344756,277878,88686,179472
22,서울,강남구,451970,354778,106865,235897
23,서울,송파구,565840,453536,180490,255166
24,서울,강동구,397634,313203,139172,160593
25,부산,중구,38032,27408,9929,16153
26,부산,서구,94117,69786,25154,41470
27,부산,동구,80399,59326,21558,35081
28,부산,영도구,100073,71696,29565,39058
29,부산,부산진구,313739,233474,89233,133285
30,부산,동래구,232079,179768,65261,106515
31,부산,남구,227098,173557,64361,101749
32,부산,북구,246904,189125,74650,105576
33,부산,해운대구,339847,259616,92631,156792
34,부산,기장군,144027,106148,42955,58497
35,부산,사하구,268754,196600,78332,108983
36,부산,금정구,201647,155206,54772,93283
37,부산,강서구,112330,84488,36016,44889
38,부산,연제구,180732,139351,51471,81889
39,부산,수영구,156367,118017,41801,71160
40,부산,사상구,185365,136658,54207,75692
41,인천,중구,121916,90125,43942,41805
42,인천,동구,53909,40918,19195,19661
43,인천,미추홀구,356862,253347,119287,121122
44,인천,연수구,317609,250104,111446,127768
45,인천,남동구,441525,329653,162476,150877
46,인천,부평구,424164,316024,159280,141072
47,인천,계양구,258741,193864,100532,83638
48,인천,서구,462821,346084,174908,154553
49,인천,강화군,63019,48473,17036,29267
50,인천,옹진군,18659,14912,5218,8797
51,대구,중구,65964,51325,10913,38288
52,대구,동구,297312,232992,52170,171004
53,대구,서구,149729,113904,19516,89620
54,대구,남구,129711,97962,19765,73865
55,대구,북구,373173,294832,66469,215861
56,대구,수성구,349945,285537,59379,216031
57,대구,달서구,466792,368662,77951,275155
58,대구,달성군,214088,166298,38882,120064
59,대전,동구,192350,142804,65555,70069
60,대전,중구,199637,151200,66698,77459
61,대전,서구,399599,304873,139877,150031
62,대전,유성구,288686,231027,108701,111342
63,대전,대덕구,152905,115404,54119,55159
64,광주,동구,90678,73877,60669,11036
65,광주,서구,248147,202633,170357,26262
66,광주,남구,180643,148854,124572,19927
67,광주,북구,363088,295658,249976,36421
68,광주,광산구,326650,264470,224484,30865
69,울산,중구,182051,143171,54075,81399
70,울산,남구,268213,209589,77783,121304
71,울산,동구,127599,98491,44506,47065
72,울산,북구,175732,138319,64692,64597
73,울산,울주군,188615,145891,56078,81956
74,세종,세종특별자치시,288895,231832,119349,101491
75,강원도,춘천시,243403,186646,82376,94926
76,강원도,원주시,302881,226239,100954,113560
77,강원도,강릉시,185823,141724,54377,80482
78,강원도,동해시,77147,57515,22896,31739
79,강원도,삼척시,56233,43642,16297,25308
80,강원도,태백시,35551,27039,10846,15101
81,강원도,정선군,32101,24898,10103,13643
82,강원도,속초시,71571,52516,21713,28342
83,강원도,고성군,24668,19218,7433,10840
84,강원도,양양군,25257,19716,7343,11495
85,강원도,인제군,27897,21836,8937,11591
86,강원도,홍천군,60872,46697,18418,25851
87,강원도,횡성군,41685,32625,12557,18546
88,강원도,영월군,34306,26925,10758,14904
89,강원도,평창군,37325,29353,11463,16571
90,강원도,화천군,21088,16494,6445,9009
91,강원도,양구군,18565,14529,5689,7878
92,강원도,철원군,37248,27846,11039,15194
93,경기도,수원시장안구,234723,183882,91842,83470
94,경기도,수원시권선구,311536,235055,121028,103154
95,경기도,수원시팔달구,161747,119627,58024,56051
96,경기도,수원시영통구,295828,239154,114418,114252
97,경기도,성남시수정구,207998,161006,86224,68806
98,경기도,성남시중원구,186278,142368,80857,56072
99,경기도,성남시분당구,404493,335434,140966,183094
100,경기도,의정부시,398960,295029,154851,127348
101,경기도,안양시만안구,209083,162812,82650,73147
102,경기도,안양시동안구,262895,216629,105221,102552
103,경기도,부천시,699678,532995,285227,224331
104,경기도,광명시,247357,198669,103470,87112
105,경기도,평택시,472732,338768,166032,156630
106,경기도,양주시,197345,145562,75236,63800
107,경기도,동두천시,81075,57532,28495,26434
108,경기도,안산시상록구,303413,222254,121488,90654
109,경기도,안산시단원구,260659,192948,103595,80605
110,경기도,고양시덕양구,414210,323033,167037,139914
111,경기도,고양시일산동구,256654,197004,96990,91849
112,경기도,고양시일산서구,251203,197311,99597,89677
113,경기도,과천시,63841,54194,21072,30934
